Title,Abstract,Budget,Research_Impact,References,Institution,Applicant_Experience,Funded
Focused human-resource time-frame,Apply in actually thing she candidate. Certain daughter brother sign. Magazine catch evidence so brother. Deal stage quality night win. Book hundred camera project national. Mouth window him race picture page.,109711,9,29,UC Berkeley,24,0
Profit-focused empowering architecture,Paper baby before example brother ground. Data seem particularly affect heavy capital. Bank son step forget under. Prove mention message ago or get under. Raise very ability with become though million.,122424,3,4,Harvard,15,0
Upgradable composite core,Bill charge word party. Fill course hit pull discussion again clear. Box red system floor fill southern. Citizen pressure trial figure magazine probably. Above time recognize term.,89298,4,7,Cambridge,14,0
Ameliorated composite neural-net,Environmental Republican a nature capital within fight. Indicate former century wrong simply. Little job heart quickly. Few around city wide station.,173341,6,49,MIT,13,1
Mandatory neutral process improvement,Player certain let difference pretty place. Ask face party. Ready generation dinner view big plant program. Scene truth recently method ago power drop. Political see TV until.,171692,9,0,UC Berkeley,28,1
Seamless stable flexibility,Base field everyone world. Official ok public skin. Image finish avoid discuss allow admit. Positive pick data. Up mind person time catch state American.,88521,8,46,University of Tokyo,20,1
Front-line 24hour orchestration,Sing she dream production. Show relate resource health nice. Natural last dream can near western decide. Wrong toward environment actually manager whose still.,76736,3,44,UC Berkeley,9,0
User-centric value-added methodology,Receive chance fill happy order rest spring. East word course attorney authority player probably. Consumer mouth sound lawyer tell thank.,138763,7,7,Caltech,8,1
Right-sized well-modulated initiative,Police bed yeah road history event. Spend family factor suggest miss recognize as. Good nearly everyone television not different. Road hair his ago data particular many. Over end art none.,162580,6,31,MIT,25,1
Adaptive analyzing software,Every southern coach require set. Grow ok story reason program through structure. Start run other matter institution we. Police yes professor issue.,91500,5,45,MIT,30,0
Extended bi-directional matrices,Skin international despite down identify. Fly instead them manage dog actually none. Where well trouble money establish look.,183254,1,7,MIT,28,1
Diverse holistic superstructure,Modern gun thus energy health. Central policy film have what. Party doctor out peace tree.,166206,2,36,MIT,21,1
Expanded client-driven customer loyalty,Identify management increase. Ready experience now draw. Lead citizen debate head until art statement. Bill attack practice see practice.,128949,4,33,Imperial College London,11,0
Secured full-range projection,Model president industry arm suggest. Point ago pattern either capital upon guess. Explain author hour travel. Without outside while low economic. West themselves page. Indicate buy model enter born course choose.,11174,9,30,Stanford,12,1
Synchronized zero tolerance capability,Idea effort science real similar along. Cause debate send history society bag civil mind. Pretty near economy might event rule. Make all democratic growth want owner tree course. Decade stock case with parent.,191265,1,16,UC Berkeley,3,0
Down-sized bottom-line database,Find instead build subject ago medical may watch. Bit what argue three one quickly couple president. Mrs something more service performance blue. Board they year quite discussion.,168034,1,24,Caltech,25,0
Universal mission-critical open architecture,Side heart trip term. Trade others tell piece international away. Rule conference large until. Baby family her skin agree type population later.,61964,2,42,Stanford,10,1
Reverse-engineered uniform groupware,What with cell unit during must design computer. Another partner medical research traditional. Cover smile rather until really TV catch free. Ok body animal space ball morning. Table religious decide fine sense.,71565,7,13,University of Tokyo,14,1
Function-based empowering concept,Leader moment popular rich wrong American will. Now official and left party social remember. Support heart ten stuff popular. Crime answer student peace clearly protect difference continue. Other hand mission expert phone.,92064,8,23,Harvard,30,1
Business-focused cohesive application,Standard ago green drive continue down high. Stuff organization ago hospital. Much section thought cup newspaper. Can six yeah join buy.,42711,2,49,ETH Zurich,16,1
Re-engineered high-level access,Phone painting energy upon piece blood build. Often enter unit make. Blue recent because. Owner first participant large what available owner lead. Southern relate if newspaper bag value could. Star tough family yard.,160194,4,31,Imperial College London,27,0
Stand-alone holistic archive,But station if other. World me sign fund else election military. Group store seem of offer seven. Growth one worker security hard toward.,85168,1,13,Stanford,17,1
Cross-platform discrete ability,Second step like final student long own. Great tough note leave feel human. Relationship behind everybody day difference second. Society charge board receive.,91688,3,13,Cambridge,19,1
Pre-emptive user-facing success,Apply idea really part skin. Push later trade by good job somebody. Something standard high accept true. Yet teacher central around know despite your. Magazine stay public learn visit world right pressure.,48407,1,26,UC Berkeley,6,1
Sharable object-oriented interface,Performance table position tonight. Particular mind side. Low standard less upon. On newspaper board human picture read country. Who Congress away.,27849,2,0,MIT,19,0
